Model,Val PPL ↓,PC KL ↓,Interval KL ↓,Polyphony match ↑,Voice-range ↑,Parallel 5/8 ↓,4-gram repeat
Unigram,29.872819492994278,0.0025599935381673006,5.3482915214833575,0.9583481666274583,0.6744140625,10.708661417322833,0.0005893909626718985
Bigram Markov,12.4019105363115,0.0032266037617405263,4.358665088002106,0.9583481666274583,0.6791015625,17.637795275590552,0.013163064833005889
4-gram Markov,6.999049179038213,0.006715534262836555,1.1865082142775372,0.9583481666274583,0.6978515625,8.58267716535433,0.13536345776031436
Transformer (ours),1.6740194751131534,0.02938540403924281,0.016842790139595734,0.9583481666278303,0.9861111111111112,7.040000000000001,0.574559686888454
Real Bach (test),,0.0,0.0,1.0,0.9827210508547402,0.1743037235259024,0.5120081228518385
