Model,Val NLL ↓,Frame Acc ↑,PC Acc ↑,Edit Dist ↓,PC KL ↓,Parallel 5/8 ↓
Random ATB,,0.0004854368932038835,0.10129449838187703,0.8891474168358959,0.021265383465982366,8.385748933838144
NN-copy,,0.10120481927710843,0.28072289156626506,0.6752279306885215,0.010392311145963718,1.7940663269680055
Rule-based triad,,0.02815533980582524,0.1825242718446602,0.800906283241466,0.23437676229327498,32.27177303876813
Transformer (ours),0.5713348357319281,0.005825242718446602,0.17216828478964402,0.799921580359733,0.032871732707315325,4.63026316965386
